PlayerName,Year,League,g,pa,ab,r,h,rbi,2b,3b,hr,bb,sb,cs,hbp,sh,sf,so,ibb,gdp,MainPos,Pos_1b,Pos_2b,Pos_3b,Pos_c,Pos_cf,Pos_dh,Pos_lf,Pos_p,Pos_ph,Pos_pr,Pos_rf,Pos_ss,avg_value,avg_label,obp_value,obp_label,slg_value,slg_label,ops_value,ops_label,iso_value,iso_label
"
Jonathan Schoop
",2011,A+-CARL,77,330,299,37,81,37,12,2,5,22,6,3,4,4,0,44,1,4,Second Baseman,0,61,3,0,0,0,0,0,0,0,0,10,0.2709030100334448,.270,0.3225906175129454,.322,0.3745819397993311,.374,0.7018546670720583,.701,0.10367892976588629,.103
"
Jonathan Schoop
",2011,A-SALL,51,238,212,45,67,34,12,3,8,20,6,3,2,1,3,32,0,13,Shortstop,0,1,19,0,0,0,0,0,0,0,0,30,0.3160377358490566,.316,0.3230586613570225,.323,0.5141509433962265,.514,0.8881005232281592,.888,0.19811320754716982,.198
"
Jonathan Schoop
",2012,AA-EL,124,556,485,68,119,56,24,1,14,50,5,3,9,6,5,103,1,12,Second Baseman,0,85,0,0,0,0,0,0,0,0,0,36,0.24536082474226803,.245,0.3230353929214157,.323,0.38556701030927837,.385,0.7075094563524438,.707,0.1402061855670103,.140
"
Jonathan Schoop
",2012,Fal-AZFL,21,83,63,12,17,10,4,0,2,16,2,0,4,0,0,18,0,0,Third Baseman,0,3,10,0,0,0,0,0,0,0,0,8,0.2698412698412698,.269,0.3234161838908615,.323,0.42857142857142855,.428,0.8743545611015491,.874,0.15873015873015872,.158
"
Jonathan Schoop
",2013,A--NYPL,3,15,14,3,8,9,1,0,2,1,0,1,0,0,0,1,0,0,Second Baseman,0,2,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,.571,0.32357116174822564,.323,1.0714285714285714,1.000,1.6714285714285713,1.000,0.5,.500
"
Jonathan Schoop
",2013,AAA-IL,70,290,270,30,69,34,11,0,9,13,1,2,5,0,1,55,1,7,Second Baseman,0,50,0,0,0,0,0,0,0,0,0,20,0.25555555555555554,.255,0.32335550628233556,.323,0.3962962962962963,.396,0.6997445721583653,.699,0.14074074074074075,.140
"
Jonathan Schoop
",2013,Fal-AZFL,12,53,47,9,7,5,0,0,2,6,0,0,0,0,0,12,0,1,Shortstop,0,4,0,0,0,0,0,0,0,0,0,8,0.14893617021276595,.148,0.32320289160181465,.323,0.2765957446808511,.276,0.5218787635487756,.521,0.1276595744680851,.127
"
Jonathan Schoop
",2013,MLB (USA),5,15,14,5,4,1,0,0,1,1,0,0,0,0,0,2,0,2,Second Baseman,0,4,0,0,0,0,0,0,1,0,0,0,0.2857142857142857,.285,0.3232084930698909,.323,0.5,.500,0.8333333333333333,.833,0.21428571428571427,.214
"
Jonathan Schoop
",2013,Rk-GULF,8,32,25,9,9,9,2,0,3,6,0,0,0,0,1,6,0,2,Second Baseman,0,5,0,0,0,0,0,0,0,0,0,0,0.36,.360,0.323379970544919,.323,0.8,.800,1.26875,1.000,0.44,.440
"
Jonathan Schoop
",2014,MLB (USA),144,505,476,51,99,47,19,0,16,16,4,0,8,5,0,126,0,12,Second Baseman,0,130,17,0,0,0,0,0,3,1,0,0,0.20798319327731093,.207,0.32192300741008495,.321,0.3487394957983193,.348,0.5923038522339629,.592,0.1407563025210084,.140
"
Jonathan Schoop
",2015,A+-CARL,2,9,9,2,3,1,0,0,1,0,0,0,0,0,0,3,0,0,Second Baseman,0,2,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,.333,0.32192671821926716,.321,0.6666666666666666,.666,1.0,1.000,0.3333333333333333,.333
"
Jonathan Schoop
",2015,AA-EL,7,26,25,3,6,6,2,0,3,1,0,0,0,0,0,6,0,0,Second Baseman,0,7,0,0,0,0,0,0,0,0,0,0,0.24,.240,0.32187725631768954,.321,0.68,.680,0.9492307692307693,.949,0.44,.440
"
Jonathan Schoop
",2015,MLB (USA),86,321,305,34,85,39,17,0,15,9,2,0,4,1,2,79,0,9,Second Baseman,0,84,0,0,0,0,0,0,2,0,0,0,0.2786885245901639,.278,0.3216873059491096,.321,0.4819672131147541,.481,0.7872631632705174,.787,0.20327868852459016,.203
